昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
梅影 疏窗 瘦|衾裯 薄 又寒|侍儿 不解 意|指月 上 阑干
万年 礼乐 章 皇极|五夜 星辰 肃 百官|洛下 有才 凌 贾马|可无 歌颂 献 金銮
古人 不见 吾 犹梦|直道 能行 恨 亦多|驷马 锦衣 儿辈 事|只须 持此 答 岷峨
孤邑 验 英略|流民 感 至恩|颜亡 虽可 痛|自有 不亡 存
殷红 鄙 桃艳|淡白 笑 梨花|落处 飘 微霰|繁时 叠 碎霞
交花 煜煜 露 生香|一味 清来 浣 我肠|文字 语言 今 落去|聊吹 别调 作 醒狂
孤松 早偃 原非 病|倦鸟 虽还 岂是 休|更欲 河边 几 来往|祇今 霜雪 已 蒙头
百年 如 闪电|未可 百年 期|少见 回头 者|能思 瞑目 时
君有 云泉 酒|诗来 寄我 尝|色过 金菊 淡|味带 木兰 香
三朝 望重 垂 青史|八座 名高 耀 圣林|从此 频来 天子 顾|功勋 应共 斗山 尊
海畔 春光 似 洛阳|同来 花下 对 花王|锦如 旧赐 绯衣 色|艳压 重开 绿野 芳
槛外 长江 去 不回|槛前 杨柳 后人 栽|当时 唯有 西山 在|曾见 滕王 歌舞 来
冲涉 修途 仆 已疲|今宵 聊复 宿 沙溪|心怀 浙右 家 无耗|身在 江南 路 欲迷
人世 难 行路|禅房 独掩 扉|鹤飞 知客 至|雨歇 见龙 归
憔悴 城南 短李 绅|多情 乌帽 染 黄尘|读书 不了 平生 事|阅世 空存 后死 身
绣罢 龙衣 出院 迟|玉阶 闲坐 话 当时|官家 久远 倾城 色|莫更 临鸾 学 画眉
翠袅 腰肢 绛 点唇|楚兰 买断 四时 春|丁宁 莫向 游尘 老|却顾 萧郎 是 后身
久雨 淋漓 水溢 城|汗渠 何处 觅 深情|九逵 迢递 埋 车辙|八表 空濛 恼 客情
爱客 祇知 兄弟 好|推贤 宁为 子孙 谋|平生 京国 多 同学|数向 君前 泪 暗流
五更 梦醒 忆 南沙|只尺 天分 路 两涯|诗草 往来 凭 稚子|春光 深浅 问 梅花
越客 知何 夕|壶公 自有 天|兹游 倾 泽国|宁问 压 巴川
朔雪 有情 相 掩映|东风 何事 少 嘘吹|莫嫌 冷落 天涯 远|他日 和羹 气味 移
偶托 小诗 寻 辙迹|敢将 沈醉 溷 生平|兴亡 无限 人间 事|惆怅 山河 乱 似萍
灯烛 灵坛 三 告祀|燕鸿 边塞 两 淹留|不须 饮福 倾 樽酒|聋过 今生 方始 休
一听 秋堂 雨|知君 病 渐苏|欲论 十 年事|庭树 已 模糊
夜月 久虚 玄草 宅|客星 还照 紫薇 郎|山川 信美 皆 吾土|何用 登楼 忆 故乡
怪来 何事 不相 容|久别 那堪 意气 慵|春到 莺声 求友 切|斋悬 榻影 带云 封
白云 千里 隔|南雁 几行 过|不尽 登楼 思|苍茫 独 放歌
访彼 形容 苦|酬予 家业 贫|自惭 功济 力|未得 遂 生民
涧泉 劝我 出山 迟|曲曲 遮留 步步 随|泉自 多情 侬自 闷|今宵 会有 出山 时
云壑 窥 仙籍|风谣 验 地图|因寻 黄绢 字|为我 吊曹 盱
目断 山河 影|耳闻 钟磬 音|还光 俄顷 易|涕泗 漫 沾襟
欢态 每来 惊 处好|奇功 端合 险 时收|闲情 定属 英雄 事|未许 凡才 画 一筹
久是 吴 门客|尝闻 谢 守贤|终悲 去国 远|泪尽 竹林 前
道义 真堪 贵|弓旌 不受 招|五全 洪范 福|四见 太平 朝
忆我 垂髫 日|同君 鼓箧 时|烟霞 林下 约|鸡黍 梦中 思
旧宅 犹 东里|新丘 宛 北邙|单鸡 频 哭友|老鹤 悔 还乡
蛮岛 亦 飞雪|玲玲 彻 玉壶|经年 寒 不已|见月 影 俱无
初从 滴沥 妨 琴榭|渐到 潺湲 绕 药畦|少傍 海边 飘泊 处|中庭 自有 两 犁泥
红衣 翠盖 玉阑 边|一曲 新凉 闻 采莲|芳润 似擎 金 掌露|清芬 疑惹 御 炉烟
皓皓 污 应易|涓涓 滴 转多|冰生 又 冰释|天道 竟 如何
陶令 移 居处|城南 住 几家|荒村 隔溪 问|茅栋 晓林 遮
莲叶 抽萍 面|藤梢 落树 腰|此中 无 骇浪|容易 打 双桡
谋人 家国 肠 空热|老我 田园 兴 已阑|惭愧 梅庵 厉 高节|深衣 相对 岸 黄冠
天籁 吟 松坞|云腴 溢 茗杯|宫城 才 十里|导骑 莫 相催
桂籍 声名 早|松门 岁月 赊|镇东 多 惠爱|使北 有 光华
正当 摇落 日|忽忆 向 江天|猿避 经行 路|鸥随 入定 船
雪埋 深 易见|血洒 湿 难干|且得 残冬 过|何如 破衲 安
萧萧 古寺 掩 松关|雨后 无人 草木 闲|埽地 家风 谁 举似|我师 特特 为 开山
云路 飞 难进|樊笼 亦 偶然|羽毛 原不 类|罗弋 自应 先
愿效 文章 用|宁辞 肌骨 刲|先生 无 浪语|略为 究 端倪
亭子 山 之上|登之 复 隐山|每过 深树 下|常见 一僧 还
早尚 逍遥 境|常怀 汗漫 期|星郎 同 访道|羽客 杳 何之
佳时 结 胜游|与子 棹 兰舟|路近 云烟 霁|岩深 水木 秋
相就 二男 真 孝子|益尊 八座 太 夫人|临岐 勿复 深 言别|看即 斑衣 侍 紫宸
正月 明朝 尽|东风 半夜 狂|乾坤 摇 盖轴|草树 拔 毫芒
诏到 禅关 日|愿言 高古 今|几生 传 佛法|方得 契 君心
损之 不见 数年 馀|万种 相思 一事 无|唯有 近来 茅屋 梦|为君 时复 到 皇都
忽忽 临 重午|无营 得自 娱|依僧 谢 荤酒|沿涧 羡 菖蒲
楚庙 繁蝉 断|淮田 细雨 生|赏心 知有 处|蒋宅 古津 平
久嗟 三峡 客|再与 暮春 期|百舌 欲 无语|繁花 能 几时
每见 故家 观 故物|辄思 前事 念 前人|锦囊 玉轴 千年 秘|儋耳 珠崖 万里 身
明镜 悬秋 月|梵音 来暮 潮|谁浮 苦海 上|甘作 半篷 飘
何年 共 归去|岁岁 送行 舟|渐老 伤 频别|长途 系 远愁
木末 径 微微|谁敲 白板 扉|缓行 松叶 滑|小摘 药苗 稀
变通 周 典礼|宽大 汉 规模|厌世 嗟何 早|苍生 泪欲 枯
郿坞 金多 竟不 存|清坚 输与 老 云根|潭中 鳣鲔 知 多少|已有 飞腾 过 禹门
有饵 潜鳞 出|无轩 野鹤 飞|驺呼 且勿 遽|更待 月华 归
城西 古地 昔 同游|望月 思家 相对 愁|明月 秋来 应 更好|何人 看月 又 悲秋
清泉 流急 响 珊珊|丹灶 无烟 玉石 寒|拂石 坐来 心 虑息|气清 冰在 玉精 盘
三载 乡坊 义 最亲|驱车 还是 走 京尘|虽无 士会 兼人 智|犹有 临岐 赠策 人
迨更 深夜 箦|茹纳 惜时 金|引领 西山 路|天风 泪满 襟
世以 文章 著|朝须 宠数 频|西湖 便 归去|应不 待 班春
要将 德业 参天 运|莫把 光阴 掷岁 馀|静里 功夫 终 透澈|一庭 明月 夜窗 虚
凛凛 寒冰 意 自伤|由来 才命 恐 相妨|山阳 一赋 千秋 恨|不比 寻常 话 断肠
蝉噪 景如 夏|鸟鸣 山似 春|数声 云外 过|却是 雁 来宾
布德 开 刑网|和戎 戢 武威|要知 怀惠 处|行路 涕 交挥
萝蔓 纫岩 竹翳 闾|天然 幻出 隐 人居|客来 欲问 山中 趣|挂壁 丝桐 插架 书
万里 北风 急|弧辰 度 远乡|溪桥 夹 市断|云树 接 天长
相父 天南 多 教育|留家 湖北 待 回翔|炎天 六月 难言 别|相照 冰心 一片 光
夜落 无人 见|朝看 到处 新|非君 有 分别|力不 柰 松筠
青史 信疑 案|碧翁 颠倒 情|驳翻 殊 未解|啁哳 桀 鸡鸣
病后 相逢 处|犹疑 十载 前|君行 当 要路|吾道 在 寒泉
往事 沄沄 逝|新愁 衮衮 生|风来 看 木末|月上 候 潮声
秋雨 潇潇 无限 思|妄凭 羽客 觅 环儿|蓬莱 日月 非 人世|不记 梧桐 落叶 时
未放 白云 分榻 住|爱看 青雨 映帘 悬|自怜 华发 江南 客|也为 登临 忆 仲宣
天回 星斗 腊 将残|傩仗 欢呼 陛盾 寒|逐疠 已随 三 阕鼓|炼真 何待 五 辛盘
灵根 久向 月中 栽|不信 天香 坠 下来|自是 人间 与天 上|一般 种子 一齐 开
堂上 一天 水|秋风 叫 白鹇|地偏 游客 少|烟阔 钓徒 闲
暮燕 归 新社|春泉 满 坏渠|今来 悲 转切|未报 秣陵 书
宫仗 传 驰道|朝衣 送 国门|千秋 谷 门外|明月 照 西园
白马 迎人 下|清猿 对客 啼|亭前 有 封殖|试为 问 红梨
近山 浮浅 黛|远水 淡 微波|地僻 惟 松菊|亭闲 自 薜萝
汉中 为会 失 兼程|雨雪 曾无 一日 晴|拗项 桥头 聊 立马|使车 应已 过 褒城
满窗 夜到 天涯 月|一枕 秋深 海眼 泉|自是 寂中 有 真趣|如何 潇洒 不忘 筌
雪洒 寒林 不断 风|偏吟 哀笛 戍楼 东|兰桡 春泛 无 归计|纸帐 宵悬 有 梦通
长安 回首 战 尘中|马背 行吹 一笛 风|寄恨 翻成 谪仙 怨|始知 深负 曲江 公
五松 人忆 白|双竹 句思 黄|今夜 舟中 月|中秋 何处 光
忍夺 中华 与 外夷|乾坤 回首 重 堪悲|镌功 奇石 张 弘范|不是 胡儿 是 汉儿
玉钩 罗袜 已成 尘|刻意 伤春 不见 春|化作 浮萍 谁管 得|生生 莫作 有情 人
牧舍 牛 生犊|蔬园 犬 逐獾|今年 时序 早|九月 已 清寒
冰雪 催诗 瘦 入肩|几回 山后 又 山前|枝头 不见 春 消息|空倚 阑干 忆 去年
树冒 藤花 堆 故绣|风吹 莺语 送 新声|细思 造物 何由 报|遣作 闲人 过 此生
露竹 晴檐 冷|松风 夜阁 虚|愿陪 宾主 后|终老 读 残书
坐想 龙 山景|方淹 瘴 海隅|几因 北窗 卧|一梦 到 西湖
三月 花飞 上苑 春|花前 黯淡 送 归人|赋成 却抱 文园 病|老去 还甘 栗里 贫
望湖 关下 战|杂虏 丧 全师|鸟啄 豺狼 将|沙埋 日月 旗
纤甲 染能 丹|嫣香 簇 作团|赠君 伴 幽寂|清泪 不须 弹
漠漠 平田 水漫 流|溪庄 端合 雨 中游|主人 爱客 千金 寿|报尔 天香 万斛 秋
滚滚 禾川 水|绵绵 义 岭岚|风雷 鸣 古涧|花竹 媚 新庵
翻笑 行藏 不 自由|邮亭 杯酒 又 淹留|罢官 却喜 身还 健|报最 空惭 政未 优
此日 吾 初度|深杯 且自 挥|眼看 儿女 大|身觉 弟兄 稀
诗从 古调 惊 春雪|路藉 南行 叹 黍苗|百岁 此宵 能 几许|玲珑 试听 小童 谣
阴霾 满目 凭谁 扫|芳草 连空 未易 耘|家学 定须 兴 尚父|威声 一振 九夷 闻
离筵 易醉 夜 将分|赵舞 灯前 犹向 君|从此 腰肢 瘦 无力|床头 闲杀 藕丝 裙
南楼 丝管 日 纷纷|一带 春江 浸 碧云|遗老 相逢 问年 几|白头 闲话 岳 将军
同舍 君为 使|前途 负弩 多|浮光 不 相待|驱马 意 如何
玉女 潭边 理 钓竿|葛仙 坛上 振孤 翰|圣朝 讵有 清流 恨|莫遣 苍生 负 谢安
一枝 香草 出 幽丛|双蝶 飞飞 戏 晚风|莫恨 村居 相识 晚|知名 元向 楚辞 中
即翻 贝叶 吾犹 倦|更策 筇枝 子亦 贤|可是 此生 凡骨 重|丹梯 无计 一 攀缘
往事 题旌 泣|恩深 奉俎 趋|天君 河岳 气|萧飒 更愁 胡
荒署 萧然 动 远思|曾栽 桂树 两三 枝|钩帘 雁过 偕吟 处|把酒 人当 独坐 时
石门 路险 交游 少|竹坞 云深 笋蕨 多|闹里 打闲 谁似 我|千岩 春色 一声 歌
北极 璇杓 转|东朝 绣户 开|吾皇 宴 长乐|亲捧 万年 杯
圣历 当 千运|天庭 第一 人|荣光 亲 日月|优宠 极 臣邻
万瓦 清霜 夜漏 残|小舟 斜月 过 阑干|老来 一事 偏 堪恨|好看 梅时 却怕 寒
千山 落叶 深|高树 不藏 禽|游子 在 何处|故人 劳 此心
何人 重此 辟 蒿莱|北固 南徐 想 霸才|万顷 江光 天外 落|六朝 山色 枕边 来
巴园 橘里 赌棋 还|暗忆 嬴时 笑 解颜|两袖 玉尘 三百 斛|抛为 瑞雪 满 人间
纵目 怀 青岛|遥天 浸 白波|谁令 贪 眺望|到处 被诗 磨
灯前 闲覆 孟坚 书|瞬息 炎刘 四百 馀|五聚 井星 才 属尔|一抔 陵土 竟 何如
世降 多 淫祀|时荒 扇 盗区|妖丁 肆 荒诞|结甲 走 昏愚
破愁 曾借 步 兵厨|一枕 浑忘 醉梦 馀|鹦鹉 无端 却 饶舌|鬓云 低挽 独 踌躇
绛服 仙人 跨 翠鸾|御风 乘月 下 瑶坛|画图 谁为 开 生面|留与 苍官 共 岁寒
毡毹 连榻 具|笋脯 对盂 珍|别后 临川 偈|同翻 几叶 新
名岂 朋游 藉|交怜 意气 赊|开尊 待 秋色|容易 负 年华
有书 遮 老眼|无药 疗 闲愁|假使 丹心 在|衰迟 也合 休
公事 公言 地|标名 信 必臧|江山 如得 助|谈笑 若为 妨
天欲 兴刘 陈涉 死|秦如 称帝 鲁连 羞|公孙 经术 卫青 贵|羡煞 人间 万户 侯
昔任 高阳 里|登堂 执 束修|深知 二郎 故|曾接 两翁 游
散策 家园 日 护云|静看 溪水 碧 生粼|春光 不为 名花 老|赢得 年年 锦绣 新
巷无 车马 迹|门有 水禽 啼|疏树 不 藏屋|间云 方 过溪
孔雀 横斜 宝扇 回|雕龙 浮动 翠舆 来|鱼知 迎日 争先 跃|花会 留春 独后 开
旅梦 遭 鸿唤|家山 被 贼围|空馀 老 莱子|相见 独 依依
握手 初逢 燕市 中|笑随 群侠 竞相 雄|倾尊 夜醉 卢沟 月|说剑 寒生 易水 风
淛水 人如 大雅 诗|唯君 出句 最能 奇|腾声 直欲 骖鸾 鹤|赤子 犹思 缚虎 罴
湖落 题诗 处|渔翁 送 客来|山风 下 吴楚|海月 上 楼台
静为 诗 所役|闲免 事 相关|应喜 云边 客|冥搜 鬓未 斑
薄夫 何苦 事 奸奸|一室 琴书 自 解颜|峰后 月明 秋啸 去|水边 林影 晚樵 还
万事 何须 问|良时 即 此时|高秋 半夜 雨|落叶 满前 池
禄养 嗟 无及|朝朝 饭 一僧|移忠 躬 蹇蹇|锡类 日 烝烝
冯公 今去 久|岭路 至今 闻|红树 村村 雨|青山 片片 云
温省 绸缪 罢|乡州 偃息 时|鹤情 归 不怨|凤德 老 无衰
蓬岛 云 长在|桃源 客 不迷|风流 未 寂寞|游屐 半 香泥
阁倚 琴薰 诵 子虚|果然 少壮 入 乡书|未游 唐殿 哦 诗句|且把 牙弦 卧 海隅
药署 深严 才 草诏|剑关 迢递 忽 乘轺|霜天 历历 巴猿 苦|山路 骎骎 莋马 骄
春风 吹雨 昼成 昏|萧寺 萧条 早 闭门|坐久 行人 更 萧瑟|定倾 老酒 向 何村
开怀 偏 有限|握别 恨 无端|不出 郑图 外|关河 各自 寒
半刺 官虽 滞|全人 世所 稀|生无 瑕可 指|古以 死为 归
落木 寒风 急|孤城 暮雨 催|相逢 孟 冬节|翘首 待 阳回
水泛 山溪 阔|烟低 野树 稠|农夫 看 得意|蓑笠 叱 黄牛
人忆 乌衣 旧|名怜 香草 存|祇今 耽静 逸|秋景 满 丘樊
闻道 城中 数 万家|暑深 如火 气蒸 霞|何如 濯足 溪潭 里|闲数 游鱼 踏 白沙
血腥 战骨 争饥 犬|雨打 荒营 没乱 蓬|但愿 牧民 来 召杜|笙歌 重见 旧 瀛东
雨不 成游 半路 归|逢花 值柳 倍 依依|朝来 赖饮 三 杯酒|醉卧 西斋 昼掩 扉
清吟 愈觉 交朋 厚|老别 难堪 岁月 惊|惟喜 归途 近 霄汉|吾乡 留得 是 嘉声
陶令 早知 今日 是|庾郎 能赋 此生 愁|残年 流荡 归 无处|兰芷 潇潇 江 上秋
日月 闲 难得|星霜 老 易催|阳秋 百年 事|作意 莫 迟回
水落 秋菰 老|夕寒 烟树 微|绝怜 双 白鹭|飞去 似 知几
春草 长河 曲|离心 共 渺然|方收 汉家 俸|独向 汶阳 田
膝下 黄金 贵|掌中 天地 宽|风云 欣 际会|四海 夜涛 寒
会稽 山上 月如 轮|鸿雁 相将 江水 春|幕府 英豪 虽 可数|樽前 谁是 急难 人
苦海 波涛 原 浩浩|觉城 色相 本 无无|大千 世界 河沙 数|尽入 如来 一 黍珠
受厘 延 汉室|被谤 过 周陵|今日 泉宫 启|师臣 礼秩 增
鲜衣 贺岁 妆 儿女|爆竹 迎春 积 笸箩|坐守 元辰 交正 点|看谁 燃放 炮 声多
此日 寻君 竟 不逢|闲行 直到 最 高峰|归时 已是 斜阳 后|惆怅 荒山 寺里 钟
吹开 麦浪 南风 至|落尽 花房 小雨 馀|暂借 僧窗 聊 假寐|梦惊 身世 两 蘧蘧
胶西 高处 望 西川|应在 孤云 落照 边|瓦屋 寒堆 春后 雪|峨眉 翠扫 雨馀 天
西溪 本慰 寂寥 人|何幸 开樽 枉 胜宾|一岸 仙山 平压 野|两陂 官柳 绿围 春
不寐 愁 长夜|秋蛩 咽 壁寒|风摇 星影 动|霜肃 鼓声 干
九州 博大 其惟 女|远逝 狐疑 不可 循|一卷 离骚 同 背写|能当 珵美 又 何人
画楼 烟暖 杏花 晴|罗绮 春娇 按 玉笙|水调 未成 翻 越调|枉劳 书信 问 莺莺
悬泉 千尺 下|飞作 雪花 轻|岩挂 联珠 影|溪鸣 碎玉 声
物外 生 寥泬|精庐 俨 翠微|案尘 收 蠹简|院静 掩 萤扉
仙乐 闻 难尽|霓旌 望 不穷|材官 多 侍从|偏我 隐 墙东
幽思 萦 新句|奇情 恋 落晖|清风 时 拂座|空翠 偶 沾衣
游子 天涯 慈母 衣|密缝 曾否 意 迟归|可怜 向长 婚 初毕|漫学 卢敖 计 总非
傥遂 成 三径|当从 读 五车|朋游 有如 此|未恨 落 长沙
喜至 生朝 疾 有瘳|旋裁 坡老 帽 蒙头|肖形 雅称 氅披 鹤|缓步 何须 杖策 鸠
春风 吹梦 到 淮南|一夕 从容 尽 笑谈|睡觉 始知 经岁 别|洛阳 新柳 已 毵毵
燕人 重 东作|镕铁 象 牛形|角断 苔花 碧|蹄穿 土锈 腥
貌入 丹青 冷|恩留 祭享 丰|乡人 仰 闺范|方看 子孙 隆
一自 燕支 属 汉家|上林 花草 倍 繁华|却愁 颜色 随 春尽|剪取 枝头 一片 霞
阶堕 榴红 霜 碎碎|帘移 蕉碧 月 骎骎|自知 卧后 清宵 细|抱取 瑶琴 共 锦衾
云际 茅茨 一 两间|春来 幽事 日 相关|临窗 静试 下岩 砚|攲枕 卧看 灵壁 山
学琴 寒 月短|写易 晚 窗明|唯到 黄昏 后|溪中 闻 磬声
平反 送喜 非徒 养|叹息 求生 岂尚 宽|积庆 如翁 须 趾美|厚培 福本 称 鹏抟
春近 忙 移树|溪平 好 作桥|诗文 三百 卷|全似 许由 瓢
抱膝 灯前 影伴 身|少年 会遇 洛川 神|相逢 相失 还如 梦|倾国 倾城 不在 人
西马 入 瓜沙|风尘 道路 赊|试言 如此 匹|消得 几 筐茶
三载 孤踪 怜 踯躅|一楼 明月 带 欃枪|逢人 但问 西 江水|日下 黄尘 蔽乱 营
近逢 商洛 客|知尔 住 南塘|草阁 平 春水|柴门 掩 夕阳
兀坐 江城 厌 寂寥|喜逢 春色 上 梅梢|寄言 画角 休 吹遍|留与 铃斋 作 淡交
世态 逾 翻掌|年光 剧 逝波|静中 真 气味|所得 不胜 多
名实 今 无对|云霄 早 致身|再逢 应互 笑|谁发 不如 银
吟虫 鸣鸟 送 残年|老卧 青溪 钓石 边|一为 成连 寻 海上|琴音 歇绝 鼓 音传
志远 能 轻别|心清 任 食贫|欢悰 馀 逝水|悲恋 剧 佳晨
庭留 旧柏 生同 劲|鼎荐 新薇 死亦 臞|有诏 作人 无事 日|江花 江草 正愁 予
从知 嘉赏 归 明主|应许 神工 迈 昔贤|满目 秋光 无 著处|此身 疑在 碧云 巅
驿道 百年 墓|征衣 四世 孙|冲风 行 木叶|藉雪 拜 松根
烂漫 朝晞 露|葳蕤 晚照 霞|暂将 邛竹 杖|扶植 惜 年华
冷逐 江梅 使|先春 下 桂林|湖平 三楚 出|岭尽 百蛮 深
闲中 诗草 如 春笋|梦里 梅花 满 故园|五剧 车声 忙 底事|有人 高卧 不 开轩
晴雪 集 林薄|朝阳 熙 陇苗|青天 堪 数雁|白路 自 通樵
小屋 刚 容我|闲居 怕见 人|蹉跎 过 半世|疏散 又 三春
昔年 寻 贺老|同泛 越溪 航|雨发 千岩 秀|风供 五月 凉
天待 娲皇 补|舟凭 鳀壑 移|观音 岩下 过|缥缈 间 灵旗
上东 门外 一 沾巾|别恨 千重 总未 伸|自古 难酬 知已 遇|只今 谁是 报恩 人
大将 星沉 易 水头|五陵 城阙 暮 生愁|那堪 落日 临淮 第|珠履 三千 觅 故侯
落落 知谁 合|纷纷 讵不 情|未成 幽处 宅|且逐 众 人行
故人 天下 定|垂钓 碧岩 幽|旧迹 随 台古|高名 寄 水流
寻春 与 送春|多绕 曲江 滨|一片 凫鹥 水|千秋 辇毂 尘
风规 王邸 韵|筮醮 相夫 宾|逐子 大家 懿|弄孙 东第 新
顾眄 已知 增 气焰|梦魂 犹想 接 容辉|宸襟 一日 怀 忠荩|召节 星驰 出禁 扉
自觉 玉容 微 婉软|急将 翠掌 护 婵娟|江南 也有 新丰 市|未羡 宾王 酌 圣贤
攻苦 食贫 三 十年|才名 不让 古人 先|一经 远赴 招贤 币|千里 寒移 坐客 毡
谢三 船上 醉 同归|黄四 花边 手屡 携|巷里 何曾 异 南北|屋头 还复 记 东西
阖境 闻 舆颂|中朝 待 玺书|循良 徵 异等|郡国 更 谁如
不知 洛浦 与 湘滨|一片 湖山 是 锦茵|为尔 植梅 千万 树|月明 来作 梦 中人
北望 吾庐 山 最好|南通 萧寺 境逾 幽|白云 夜向 原 中宿|几度 随人 过 岭头
俊骨 英才 气 袖然|策名 飞步 冠 群贤|逢时 已自 致 高位|得疾 还因 倚 少年
只将 去日 占 来日|谁谓 增年 是 减年|次第 梅花 春 满目|可容 愁到 酒 樽前
乡党 名卿 有 几人|如公 学术 两 离伦|贡金 政告 忠 嘉旧|春草 诗传 语 句新
秋光 漠漠 叹 离居|五月 携违 祇 一书|老怯 逢迎 宁免 拙|病添 痴懒 转成 疏
柳疏 秋色 澹|委巷 解怜 愚|把臂 云同 懒|忘形 鹤共 迂
台阶 曳履 荷 恩殊|八座 班联 上 大夫|星佩 暂违 枫殿 直|云帆 新向 秣陵 趋
夜半 风回 雨脚 收|万家 和气 与 云浮|萧条 寒巷 荒 三径|突兀 晴空 耸 二楼
沧海 横流 百事 非|腥风 吹水 上人 衣|鱼龙 变幻 天何 极|独棹 扁舟 看 落晖
田舍 篱忧 倒|渔舟 柁喜 扶|雨馀 山更 碧|倍费 我 工夫
